query_id,applied_rules,ignored_rules,applied_rules_size,ignored_rules_size
query11.sql,FilterIntoJoinRule;JoinToCorrelateRule;AggregateJoinTransposeRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectMergeRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,13
query12.sql,FilterIntoJoinRule;JoinToCorrelateRule;AggregateJoinTransposeRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectMergeRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,13
query13.sql,FilterIntoJoinRule;JoinToCorrelateRule;AggregateJoinTransposeRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectMergeRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,13
query14.sql,FilterIntoJoinRule;JoinToCorrelateRule;AggregateJoinTransposeRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectMergeRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,13
query15.sql,FilterIntoJoinRule;JoinToCorrelateRule;AggregateJoinTransposeRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectMergeRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,13
query16.sql,FilterIntoJoinRule;JoinToCorrelateRule;AggregateJoinTransposeRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectMergeRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,13
query17.sql,FilterIntoJoinRule;JoinToCorrelateRule;AggregateJoinTransposeRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectMergeRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,13
query18.sql,FilterIntoJoinRule;JoinToCorrelateRule;AggregateJoinTransposeRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectMergeRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,13
query19.sql,FilterIntoJoinRule;JoinToCorrelateRule;AggregateJoinTransposeRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectMergeRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,13
query20.sql,FilterIntoJoinRule;JoinToCorrelateRule;AggregateJoinTransposeRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectMergeRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,13
query21.sql,FilterIntoJoinRule;JoinToCorrelateRule;AggregateJoinTransposeRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectMergeRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,13
query22.sql,FilterIntoJoinRule;JoinToCorrelateRule;AggregateJoinTransposeRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectMergeRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,13
query23.sql,FilterIntoJoinRule;JoinToCorrelateRule;AggregateJoinTransposeRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectMergeRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,13
query24.sql,FilterIntoJoinRule;JoinToCorrelateRule;AggregateJoinTransposeRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectMergeRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,13
query25.sql,FilterIntoJoinRule;JoinToCorrelateRule;AggregateJoinTransposeRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectMergeRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,13
query26.sql,FilterIntoJoinRule;JoinToCorrelateRule;AggregateJoinTransposeRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectMergeRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,13
query27.sql,FilterIntoJoinRule;JoinToCorrelateRule;AggregateJoinTransposeRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectMergeRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,13
query28.sql,FilterIntoJoinRule;JoinToCorrelateRule;AggregateJoinTransposeRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectMergeRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,13
query29.sql,FilterIntoJoinRule;JoinToCorrelateRule;AggregateJoinTransposeRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectMergeRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,13
query30.sql,FilterIntoJoinRule;JoinToCorrelateRule;AggregateJoinTransposeRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectMergeRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,13
query31.sql,FilterIntoJoinRule;JoinToCorrelateRule;AggregateJoinTransposeRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectMergeRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,13
query32.sql,FilterIntoJoinRule;JoinToCorrelateRule;AggregateJoinTransposeRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectMergeRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,13
query33.sql,FilterIntoJoinRule;JoinToCorrelateRule;AggregateJoinTransposeRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectMergeRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,13
query34.sql,FilterIntoJoinRule;JoinToCorrelateRule;AggregateJoinTransposeRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectMergeRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,13
query35.sql,FilterIntoJoinRule;JoinToCorrelateRule;AggregateJoinTransposeRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectMergeRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,13
query36.sql,FilterIntoJoinRule;JoinToCorrelateRule;AggregateJoinTransposeRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectMergeRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,13
query37.sql,FilterIntoJoinRule;JoinToCorrelateRule;AggregateJoinTransposeRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectMergeRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,13
query38.sql,FilterIntoJoinRule;JoinToCorrelateRule;AggregateJoinTransposeRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectMergeRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,13
query39.sql,FilterIntoJoinRule;JoinToCorrelateRule;AggregateJoinTransposeRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectMergeRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,13
query40.sql,FilterIntoJoinRule;JoinToCorrelateRule;AggregateJoinTransposeRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectMergeRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,13
query41.sql,FilterIntoJoinRule;JoinToCorrelateRule;AggregateJoinTransposeRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectMergeRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,13
query42.sql,FilterIntoJoinRule;JoinToCorrelateRule;AggregateJoinTransposeRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectMergeRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,13
query43.sql,FilterIntoJoinRule;JoinToCorrelateRule;AggregateJoinTransposeRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectMergeRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,13
query44.sql,FilterIntoJoinRule;JoinToCorrelateRule;AggregateJoinTransposeRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectMergeRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,13
query45.sql,FilterIntoJoinRule;JoinToCorrelateRule;AggregateJoinTransposeRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectMergeRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,13
query46.sql,FilterIntoJoinRule;AggregateJoinTransposeRule;JoinToCorrelateRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,12
query47.sql,FilterIntoJoinRule;AggregateJoinTransposeRule;JoinToCorrelateRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,12
query48.sql,FilterIntoJoinRule;AggregateJoinTransposeRule;JoinToCorrelateRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,12
query49.sql,FilterIntoJoinRule;AggregateJoinTransposeRule;JoinToCorrelateRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,12
query50.sql,FilterIntoJoinRule;AggregateJoinTransposeRule;JoinToCorrelateRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,12
query51.sql,FilterIntoJoinRule;AggregateJoinTransposeRule;JoinToCorrelateRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,12
query52.sql,FilterIntoJoinRule;AggregateJoinTransposeRule;JoinToCorrelateRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,12
query53.sql,FilterIntoJoinRule;AggregateJoinTransposeRule;JoinToCorrelateRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,12
query54.sql,FilterIntoJoinRule;AggregateJoinTransposeRule;JoinToCorrelateRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,12
query55.sql,FilterIntoJoinRule;AggregateJoinTransposeRule;JoinToCorrelateRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,12
query56.sql,FilterIntoJoinRule;AggregateJoinTransposeRule;JoinToCorrelateRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,12
query57.sql,FilterIntoJoinRule;AggregateJoinTransposeRule;JoinToCorrelateRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,12
query58.sql,FilterIntoJoinRule;AggregateJoinTransposeRule;JoinToCorrelateRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,12
query59.sql,ReduceExpressionsRule(Filter);FilterIntoJoinRule;AggregateJoinTransposeRule;JoinToCorrelateRule,FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,4,11
query60.sql,FilterIntoJoinRule;AggregateJoinTransposeRule;JoinToCorrelateRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,12
query61.sql,FilterIntoJoinRule;AggregateJoinTransposeRule;JoinToCorrelateRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,12
query62.sql,FilterIntoJoinRule;AggregateJoinTransposeRule;JoinToCorrelateRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,12
query63.sql,FilterIntoJoinRule;AggregateJoinTransposeRule;JoinToCorrelateRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,12
query64.sql,FilterIntoJoinRule;AggregateJoinTransposeRule;JoinToCorrelateRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,12
query65.sql,FilterIntoJoinRule;AggregateJoinTransposeRule;JoinToCorrelateRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,12
query66.sql,FilterIntoJoinRule;AggregateJoinTransposeRule;JoinToCorrelateRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,12
query67.sql,FilterIntoJoinRule;AggregateJoinTransposeRule;JoinToCorrelateRule,ReduceExpressionsRule(Filter);FilterProjectTransposeRule;ProjectFilterTransposeRule;JoinConditionPushRule;ProjectRemoveRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;SemiJoinRule:join;JoinToCorrelatedSubqueryRule;SemiJoinToExistsRule;CteIntroductionRule,3,12
query68.sql,FilterIntoJoinRule;AggregateJoinTransposeRule,ReduceExpressionsRule(Filter);JoinConditionPushRule;ProjectRemoveRule;ProjectJoinRemoveRule;AggregateJoinRemoveRule;JoinHubEliminationRule;CteIntroductionRule,2,7
